"movie,year,metascore,imdb,tmeter,audience,fandango,n_metascore,n_imdb,n_tmeter,n_audience,nr_metascore,nr_imdb,nr_tmeter,nr_audience,decade,composite_score,metascore_imdb_diff"
"10 Cloverfield Lane,2016,76,7.2,90,79,3.5,3.8,3.6,4.5,3.95,4.0,3.5,4.5,4.0,2010,3.9625000000000004,4.0"
"13 Hours,2016,48,7.3,50,83,4.5,2.4,3.65,2.5,4.15,2.5,3.5,2.5,4.0,2010,3.1750000000000003,-25.0"
"A Cure for Wellness,2016,47,6.6,40,47,3.0,2.35,3.3,2.0,2.35,2.5,3.5,2.0,2.5,2010,2.5,-19.0"
"A Dog's Purpose,2017,43,5.2,33,76,4.5,2.15,2.6,1.65,3.8,2.0,2.5,1.5,4.0,2010,2.55,-9.0"
"A Hologram for the King,2016,58,6.1,70,57,3.0,2.9,3.05,3.5,2.85,3.0,3.0,3.5,3.0,2010,3.0749999999999997,-3.0"
"A Monster Calls,2016,76,7.5,87,84,4.0,3.8,3.75,4.35,4.2,4.0,4.0,4.5,4.0,2010,4.0249999999999995,1.0"
"A Street Cat Named Bob,2016,54,7.4,77,79,4.5,2.7,3.7,3.85,3.95,2.5,3.5,4.0,4.0,2010,3.55,-20.0"
"Alice Through the Looking Glass,2016,34,6.2,30,50,4.0,1.7,3.1,1.5,2.5,1.5,3.0,1.5,2.5,2010,2.2,-28.0"
"Allied,2016,60,7.1,61,66,4.0,3.0,3.55,3.05,3.3,3.0,3.5,3.0,3.5,2010,3.2249999999999996,-11.0"
"Amateur Night,2016,38,5.0,0,27,3.5,1.9,2.5,0.0,1.35,2.0,2.5,0.0,1.5,2010,1.4375,-12.0"
"Anthropoid,2016,59,7.2,66,71,4.0,2.95,3.6,3.3,3.55,3.0,3.5,3.5,3.5,2010,3.3500000000000005,-13.0"
"Approaching the Unknown,2016,53,4.8,45,16,3.5,2.65,2.4,2.25,0.8,2.5,2.5,2.0,1.0,2010,2.025,5.0"
"Arrival,2016,81,8.0,94,82,4.0,4.05,4.0,4.7,4.1,4.0,4.0,4.5,4.0,2010,4.2125,1.0"
"Arsenal,2017,25,4.0,4,22,3.5,1.25,2.0,0.2,1.1,1.0,2.0,0.0,1.0,2010,1.1375000000000002,-15.0"
"Assassin's Creed,2016,36,6.1,17,51,4.0,1.8,3.05,0.85,2.55,2.0,3.0,1.0,2.5,2010,2.0625,-25.0"
"Bad Moms,2016,60,6.2,58,65,4.5,3.0,3.1,2.9,3.25,3.0,3.0,3.0,3.0,2010,3.0625,-2.0"
"Bad Santa 2,2016,38,5.5,23,37,3.5,1.9,2.75,1.15,1.85,2.0,3.0,1.0,2.0,2010,1.9125,-17.0"
"Barbershop: The Next Cut,2016,67,5.9,90,67,4.5,3.35,2.95,4.5,3.35,3.5,3.0,4.5,3.5,2010,3.5375,8.0"
"Batman V Superman: Dawn of Justice,2016,44,6.7,27,63,4.0,2.2,3.35,1.35,3.15,2.0,3.5,1.5,3.0,2010,2.5125,-23.0"
"Beauty and the Beast,2017,65,7.8,70,86,4.5,3.25,3.9,3.5,4.3,3.0,4.0,3.5,4.5,2010,3.7375,-13.0"
"Before I Fall,2017,58,6.5,66,65,3.5,2.9,3.25,3.3,3.25,3.0,3.0,3.5,3.0,2010,3.175,-7.0"
"Before the Flood,2016,63,8.4,71,77,3.5,3.15,4.2,3.55,3.85,3.0,4.0,3.5,4.0,2010,3.6874999999999996,-21.0"
"Ben-Hur,2016,38,5.7,25,55,4.0,1.9,2.85,1.25,2.75,2.0,3.0,1.0,3.0,2010,2.1875,-19.0"
"Bitter Harvest,2017,34,7.2,10,82,4.5,1.7,3.6,0.5,4.1,1.5,3.5,0.5,4.0,2010,2.4749999999999996,-38.0"
"Blair Witch,2016,47,5.1,35,30,3.0,2.35,2.55,1.75,1.5,2.5,2.5,2.0,1.5,2010,2.0375,-4.0"
"Bleed for This,2016,62,6.8,71,70,4.0,3.1,3.4,3.55,3.5,3.0,3.5,3.5,3.5,2010,3.3875,-6.0"
"Blood Father,2016,66,6.4,89,63,4.0,3.3,3.2,4.45,3.15,3.5,3.0,4.5,3.0,2010,3.525,2.0"
"Bridget Jones's Baby,2016,59,6.7,76,69,4.0,2.95,3.35,3.8,3.45,3.0,3.5,4.0,3.5,2010,3.3875,-8.0"
"Busanhaeng,2016,72,7.5,96,88,4.5,3.6,3.75,4.8,4.4,3.5,4.0,5.0,4.5,2010,4.137499999999999,-3.0"
"Cabin Fever,2016,14,3.7,0,11,4.0,0.7,1.85,0.0,0.55,0.5,2.0,0.0,0.5,2010,0.7749999999999999,-23.0"
"Cafe Society,2016,64,6.7,70,58,3.5,3.2,3.35,3.5,2.9,3.0,3.5,3.5,3.0,2010,3.2375000000000003,-3.0"
